id,title,city,company,company_id,experience,employment,schedule,salary_from,salary_to,currency,skills,requirement,responsibility,url,published_at
131901002,Power BI Analyst (Product Testing),Астана,Гусева Дарья Дмитриевна,12521066,От 3 до 6 лет,Частичная занятость,Удаленная работа,1500,3000,RUR,"Английский язык, Power BI",Опыт работы с реальными бизнес-кейсами (не только обучение). — Уверенное понимание DAX и data modeling. — Регулярное использование AI-инструментов в...,"Тестирование продуктовых фич с позиции Power BI аналитика. — Проверка логики решений (DAX, модели, метрики). — Выявление ошибок, неочевидных багов и “узких...",https://hh.ru/vacancy/131901002,2026-04-13T10:07:31+0300
132051990,Аналитик данных / Data Analyst,Астана,SDD,12728286,От 1 года до 3 лет,Полная занятость,Полный день,,620000,KZT,,"Уверенное владение SQL (сложные JOIN-ы, оконные функции, оптимизация тяжелых запросов). Опыт работы с аналитическими БД. Python: уверенное владение стеком...","Предиктивная аналитика: построение и внедрение ML-моделей (прогнозирование оттока, сегментация пользователей). Создание и поддержка ETL-процессов для автоматизации аналитики.",https://hh.ru/vacancy/132051990,2026-04-12T19:38:27+0300
131258020,Tech Lead/Архитектор,Астана,Freedom Media,10828629,Более 6 лет,Полная занятость,Полный день,,,,"Лидерские качества, Аналитическое мышление, Коммуникативные навыки, Постановка задач разработчикам, Управление рисками, Критическое мышление","Что нужно от тебя: 7+ лет в backend / платформенной разработке, из них 3+ года в роли tech lead...","Архитектура данных: проектирование схем событий, интеграция с Data Lake / DWH для near-realtime аналитики. Экосистемные интеграции. Инженерные стандарты: культура code...",https://hh.ru/vacancy/131258020,2026-04-12T13:52:38+0300
131638111,Графический / UX/UI-дизайнер,Астана,BTS Digital,3912449,От 1 года до 3 лет,Полная занятость,Полный день,,,,,Что ты будешь делать: Среднее/Высшее образование в области дизайна или технических специальностей. Опыт работы в сфере дизайна от 1...,"Отслеживание трендов в веб-дизайне, графическом дизайне и digital-среде. Тестирование и улучшение UX на основе аналитики и обратной связи.",https://hh.ru/vacancy/131638111,2026-04-12T09:52:11+0300
131202924,Системный бизнес аналитик (Business system analyst),Астана,BTS Digital,3912449,От 3 до 6 лет,Полная занятость,Полный день,,,,"SQL, Atlassian Confluence, Atlassian Jira, API, Agile, REST, SOAP","Опыт работы аналитиком или в смежным ролях от 2-х лет. Опыт работы в Agile команде (Scrum, Kanban).","Анализ бизнес-процессов и формирование требований для разработки новых и доработки существующих систем. Сбор, анализ и документирование бизнес и системных...",https://hh.ru/vacancy/131202924,2026-04-12T09:52:11+0300
131799069,Head of Sales,Астана,U Trust Insurance Agency LLC,11489326,Более 6 лет,Полная занятость,Удаленная работа,2000,,USD,"Английский язык, Business Development, Лидерство, Поиск и привлечение клиентов, Project management, Стратегическое мышление, Управление отношениями с клиентами, Анализ рынка, Аналитическое мышление, Аналитика продаж, Планирование продаж","Data-Driven: Strong analytical skills to translate performance data into effective strategies. Adaptability: Ability to excel in fast-paced, evolving...","Performance Management. Analyze CRM and sales data to monitor performance, identify gaps, and implement strategies to improve outcomes. Onboarding & Training.",https://hh.ru/vacancy/131799069,2026-04-11T23:05:09+0300
131227946,Growth маркетолог (AI + EdTech),Астана,DataGroup Qazaqstan,10022772,Нет опыта,Полная занятость,Гибкий график,200000,800000,KZT,,"Опыт в одном или нескольких направлениях: контент-маркетинг, SMM, Telegram-боты, AI-инструменты, EdTech/IT. Понимание IT-профессий и опыт...","Создание контента для привлечения студентов: Instagram, TikTok, YouTube Shorts, карусели, короткие обучающие видео, кейсы студентов, разборы IT-профессий.",https://hh.ru/vacancy/131227946,2026-04-11T17:57:53+0300
131227454,Преподаватель-практик Data Analytics,Астана,DataGroup Qazaqstan,10022772,От 1 года до 3 лет,Частичная занятость,Гибкий график,200000,800000,KZT,,"Опыт работы аналитиком от 2 лет. Уверенные навыки Excel, SQL, Python (Pandas), Power BI. Умение понятно объяснять сложные вещи.","Ведение курса Data Analytics (Excel, SQL, Python, Power BI). Проведение практических занятий. Проверка домашних заданий. Обратная связь студентам.",https://hh.ru/vacancy/131227454,2026-04-11T15:38:05+0300
131974887,Middle Data Analyst (SQL / BI / Python),Астана,Yurt Tech,11367797,От 3 до 6 лет,Полная занятость,Полный день,,,,"SQL, Python, Работа с базами данных, MS SQL Server","...с Big Data (Spark, Hadoop, ClickHouse). Понимание Data Governance и качества данных. Опыт работы с Data Mesh / Data Warehouse.","Роль предполагает активное взаимодействие с бизнесом, анализ данных и участие в построении data-пайплайнов. Работа с инструментами (Airflow, Spark, либо...",https://hh.ru/vacancy/131974887,2026-04-09T09:13:47+0300
131966967,Medical Advisor,Астана,Andersen,851604,Более 6 лет,Полная занятость,Удаленная работа,,,,"PharmExpert, Английский язык, Медицинская документация, Медицинское оборудование, Деловая коммуникация, Лекарственные препараты, Деловое общение, Тренинги",Experience implementing quality improvement projects in the workplace. Experience collaborating with digital healthcare startups. Experience working as a Business Analyst...,"Conducting workshops and webinars, creating guidelines on compliance, data governance, and security. Mentoring junior specialists and contributing to the development...",https://hh.ru/vacancy/131966967,2026-04-08T19:38:47+0300
